id,raceId,constructorId,grid,positionOrder,points,statusId
407,37,2,7,18,0.0,11
412,38,6,1,1,10.0,1
413,38,1,2,2,8.0,1
414,38,6,3,3,6.0,1
415,38,2,5,4,5.0,1
416,38,1,4,5,4.0,1
417,38,2,6,6,3.0,1
418,38,7,9,7,2.0,1
419,38,4,7,8,1.0,1
420,38,4,12,9,0.0,1
421,38,3,10,10,0.0,1
422,38,3,11,11,0.0,11
423,38,7,14,12,0.0,11
424,38,11,15,13,0.0,11
425,38,12,22,14,0.0,12
426,38,12,20,15,0.0,14
427,38,8,13,16,0.0,5
434,39,6,1,1,10.0,1
435,39,1,4,2,8.0,1
436,39,1,2,3,6.0,1
437,39,2,5,4,5.0,1
438,39,9,9,5,4.0,1
439,39,3,11,6,3.0,1
440,39,4,8,7,2.0,1
441,39,8,13,8,1.0,11
442,39,4,10,9,0.0,11
443,39,11,12,10,0.0,11
444,39,8,15,11,0.0,11
445,39,11,14,12,0.0,11
446,39,12,20,13,0.0,12
447,39,12,21,14,0.0,12
456,40,1,1,1,10.0,1
457,40,1,2,2,8.0,1
458,40,6,3,3,6.0,1
459,40,4,4,4,5.0,11
460,40,2,8,5,4.0,11
461,40,2,7,6,3.0,11
462,40,3,11,7,2.0,11
463,40,6,16,8,1.0,11
464,40,5,18,9,0.0,11
465,40,11,9,10,0.0,11
466,40,11,10,11,0.0,11
467,40,3,5,12,0.0,11
468,40,4,15,13,0.0,5
469,40,9,13,14,0.0,12
470,40,7,14,15,0.0,12
471,40,7,20,16,0.0,12
472,40,8,21,17,0.0,12
473,40,8,17,18,0.0,12
474,40,12,22,19,0.0,30
478,41,1,1,1,10.0,1
479,41,2,3,2,8.0,1
480,41,3,19,3,6.0,1
481,41,4,22,4,5.0,1
482,41,6,4,5,4.0,1
483,41,8,11,6,3.0,1
484,41,1,2,7,2.0,1
485,41,7,18,8,1.0,1
486,41,9,6,9,0.0,1
487,41,3,7,10,0.0,1
488,41,8,17,11,0.0,1
489,41,11,13,12,0.0,1
500,42,1,1,1,10.0,1
501,42,1,2,2,8.0,1
502,42,6,3,3,6.0,1
503,42,6,4,4,5.0,1
504,42,4,6,5,4.0,1
505,42,7,8,6,3.0,1
506,42,9,9,7,2.0,1
507,42,2,7,8,1.0,1
508,42,4,10,9,0.0,11
509,42,3,17,10,0.0,11
510,42,8,16,11,0.0,11
511,42,11,13,12,0.0,11
512,42,5,20,13,0.0,12
513,42,12,21,14,0.0,12
514,42,12,22,15,0.0,13
515,42,3,14,16,0.0,5
516,42,5,19,17,0.0,34
522,43,6,3,1,10.0,1
523,43,6,1,2,8.0,1
524,43,1,2,3,6.0,1
525,43,2,4,4,5.0,1
526,43,2,7,5,4.0,1
527,43,4,5,6,3.0,1
528,43,1,10,7,2.0,1
529,43,11,12,8,1.0,1
530,43,3,9,9,0.0,1
531,43,7,11,10,0.0,11
532,43,11,13,11,0.0,11
533,43,9,14,12,0.0,11
534,43,9,16,13,0.0,11
535,43,3,18,14,0.0,11
536,43,4,6,15,0.0,11
537,43,8,22,16,0.0,12
538,43,12,21,17,0.0,12
544,44,6,2,1,10.0,1
545,44,1,3,2,8.0,1
546,44,1,1,3,6.0,1
547,44,2,5,4,5.0,1
548,44,6,4,5,4.0,1
549,44,2,9,6,3.0,1
550,44,4,7,7,2.0,11
551,44,4,8,8,1.0,11
552,44,11,14,9,0.0,11
553,44,11,18,10,0.0,11
554,44,9,12,11,0.0,11
555,44,3,17,12,0.0,11
556,44,3,13,13,0.0,11
557,44,8,21,14,0.0,12
558,44,12,22,15,0.0,12
559,44,5,16,16,0.0,6
566,45,1,2,1,10.0,1
567,45,6,3,2,8.0,1
568,45,9,6,3,6.0,1
569,45,3,12,4,5.0,1
570,45,9,20,5,4.0,1
571,45,2,4,6,3.0,1
572,45,2,5,7,2.0,1
